ID_REF	GSM142398	GSM142399	GSM142400	GSM142401	GSM142402	GSM142403	GSM142404	GSM142405	GSM142406	GSM142407	GSM142408	GSM142409	GSM142410	GSM142411	GSM142412	GSM142413	GSM142414	GSM142415	GSM142416	GSM142417	GSM142418	GSM142419	GSM142420	GSM142421	GSM142422	GSM142423
1449481_at	40.9	579.8	32.3	72.2	184.9	68.9	76.6	44.3	77.4	108.2	13.1	5.9	49	160.3	4.1	140.5	172.8	94.7	52.5	12.1	34.8	2.5	41.8	71.6	183.3	165.5
1449482_at	84.4	29.6	4.5	144.8	120.5	229	217.4	49.5	53.8	71.2	125	197.4	63.4	30.2	71.7	437.4	499.2	173.1	298.8	132.1	179.4	26	62.1	148.2	36.3	55.4
1449483_at	224.7	91.2	284.7	300.7	161.4	208.5	147.8	267.2	278.7	180.3	387.4	242.7	169.9	208.5	151.8	187.9	173.5	209.5	242.4	85.7	172.4	123.6	107.8	251.7	278.1	260.6
1449484_at	40.5	21.1	37.9	41.5	44	35.2	46.4	115.1	190.2	63.3	46.3	62	549	107.3	35.4	21.1	39.2	87.4	155.7	1.8	2.1	19.2	12.9	43.4	66.6	108.3
1449485_at	867.2	900.2	649.3	657.1	1079.5	1013.9	925.5	756.8	761.6	882.7	825.8	508	772.4	652.3	671.5	1142.7	654.3	802.8	689.3	549.9	645.6	591.8	588.3	845.8	819.5	664.5
1449486_at	3.5	23.7	1.4	15.9	2.6	1	10.5	18.2	16.4	2.5	32.6	0.4	20.7	3	4.5	2.2	14.1	2.8	29.4	1.1	12.5	13.4	1.4	9.9	5.7	2.8
1449487_at	1.7	5.7	3.9	2	1.7	6.5	3.3	3.6	1.8	2.6	5.3	2.2	1.6	2.5	6.9	1.9	3.6	6	42.6	2.8	4.2	1	1	1.3	2.7	10.8
1449488_at	49.9	1.8	11.6	27.8	13.6	8.4	45.8	31.2	27.5	15	39.8	4	71.4	46.7	4.2	39.6	17.6	47.1	31.2	43.8	3.2	29.6	4	10.6	23	26.1
1449489_at	3.8	7.9	1.3	5	4.4	1.4	14.9	2.6	19.2	5.9	5.2	1.4	25.8	2.1	1.4	2.8	3.4	2.7	2.5	1.2	0.9	3.6	5.3	0.6	0.7	16
1449490_at	822.7	129.7	1057	906.8	486.5	657.1	594	563.8	439.3	537.9	867.1	333	595.1	743.1	516.3	260	308.3	661.7	485.8	558.2	606.1	437.6	445.9	694.1	652.6	548.6
